Path,Resource,Consul,Unused
Compute/alb/main.tf, aws_alb, api_dev, 
Compute/alb/main.tf, aws_alb_target_group, api_dev, 
Compute/alb/main.tf, aws_alb_listener, consul_front_end,
Compute/autoscaling/consul_front/main.tf, aws_launch_configuration, consul_front,
Compute/autoscaling/consul_front/main.tf, aws_autoscaling_group, consul_front,
Compute/autoscaling/consul_retail/main.tf, aws_launch_configuration, consul_retail,
Compute/autoscaling/consul_retail/main.tf, aws_autoscaling_group, consul_retail,
Compute/autoscaling/consul_s2b_back/main.tf, aws_launch_configuration, consul_s2b_back,
Compute/autoscaling/consul_s2b_back/main.tf, aws_autoscaling_group, consul_s2b_back,
Compute/autoscaling/consul_s2b_front/main.tf, aws_launch_configuration, consul_s2b_front,
Compute/autoscaling/consul_s2b_front/main.tf, aws_autoscaling_group, consul_s2b_front,
Compute/ec2_keys/main.tf, aws_key_pair, consul_mastr,
Compute/ec2_keys/main.tf, aws_key_pair, consul_minin,
Compute/ec2_mastr/main.tf, aws_instance, consul_mastr,
Compute/elb/main.tf, aws_elb, consul_retail,
Compute/elb/main.tf, aws_elb, consul_s2b_front,
Compute/elb/main.tf, aws_elb, consul_s2b_back,
Database/rds/main.tf, aws_db_subnet_group, api_dev, 
Database/rds/main.tf, aws_db_instance, api_dev, 
Database/redis/main.tf, aws_elasticache_subnet_group, api_dev, 
Database/redis/main.tf, aws_elasticache_replication_group, consul_rep_gr,
Networking/route/main.tf, aws_route_table, consul_ext_route_0,
Networking/route/main.tf, aws_route, consul_ext_route_0,
Networking/route/main.tf, aws_main_route_table_association, consul_ext_route_0,
Networking/route/main.tf, aws_route_table_association, api_ext_ass0, 
Networking/route/main.tf, aws_route_table_association, api_ext_ass1, 
Networking/route/main.tf, aws_route_table_association, api_ext_ass2, 
Networking/route/main.tf, aws_route_table, consul_int_route_1,
Networking/route/main.tf, aws_route_table_association, api_int_ass3, 
Networking/route/main.tf, aws_route_table_association, api_int_ass4, 
Networking/route/main.tf, aws_route_table_association, api_int_ass5, 
Networking/securety_groups/alb/main.tf, aws_security_group, consul_sec_alb,
Networking/securety_groups/cicd/main.tf, aws_security_group, consul_sec_cicd,
Networking/securety_groups/efs/main.tf, aws_security_group, consul_sec_efs,
Networking/securety_groups/front_server/main.tf, aws_security_group, consul_sec_front,
Networking/securety_groups/rds/main.tf, aws_security_group, consul_sec_rds,
Networking/securety_groups/redis/main.tf, aws_security_group, consul_sec_redis,
Networking/securety_groups/retail/main.tf, aws_security_group, consul_sec_retail,
Networking/securety_groups/retail_elb/main.tf, aws_security_group, consul_sec_retail_elb,
Networking/securety_groups/s2b_back/main.tf, aws_security_group, consul_sec_s2b_back,
Networking/securety_groups/s2b_elb/main.tf, aws_security_group, consul_sec_s2b_elb,
Networking/securety_groups/s2b_front/main.tf, aws_security_group, consul_sec_s2b_front,
Networking/subnet/main.tf, aws_subnet, consul_ext_subnet_0,
Networking/subnet/main.tf, aws_subnet, consul_ext_subnet_1,
Networking/subnet/main.tf, aws_subnet, consul_ext_subnet_2,
Networking/subnet/main.tf, aws_subnet, consul_int_subnet_3,
Networking/subnet/main.tf, aws_subnet, consul_int_subnet_4,
Networking/subnet/main.tf, aws_subnet, consul_int_subnet_5,
Networking/vpc/main.tf, aws_vpc, consul_vpc_id,
Networking/vpc/main.tf, aws_internet_gateway, consul_int_gw_id,
Networking/vpc/main.tf, aws_vpc_dhcp_options, consul_vpc_dhcp_id,
Securety/iam/main.tf, aws_iam_role, consul_mastr,
Securety/iam/main.tf, aws_iam_instance_profile, consul_mastr,
Securety/iam/main.tf, aws_iam_policy_attachment, consul_mastr_admin,
Securety/iam/main.tf, aws_iam_role, consul_minin,
Securety/iam/main.tf, aws_iam_instance_profile, consul_minin,
Securety/iam/main.tf, aws_iam_policy_attachment, dev_minin_ec2_full_acess, 
Securety/iam/main.tf, aws_iam_policy_attachment, dev_minin_s3_full_acess, 
Securety/iam/main.tf, aws_iam_policy_attachment, dev_minin_rds_full_acess, 
Securety/iam/main.tf, aws_iam_policy_attachment, dev_minin_redis_full_acess, 
Storage/efs_volume/main.tf, aws_efs_file_system, api_dev, 
Storage/efs_volume/main.tf, aws_efs_mount_target, subnet_id_0, 
Storage/efs_volume/main.tf, aws_efs_mount_target, subnet_id_1, 
Storage/efs_volume/main.tf, aws_efs_mount_target, subnet_id_2, 
Storage/s3/main.tf, aws_s3_bucket, consul_alb_bucket_logs,
Storage/s3/main.tf, aws_s3_bucket, consul_retail_bucket_logs,
Storage/s3/main.tf, aws_s3_bucket, consul_s2b_front_bucket_logs,
Storage/s3/main.tf, aws_s3_bucket, consul_s2b_back_bucket_logs,
